hour_of_year,insolation,temperature,wind,rainfall
584,896,23.149,,
585,751,22.954,,
586,528,22.176,,
587,248,20.656,,
588,22,15.89,,
589,0,13.694,,
590,0,12.738,,
591,0,11.876,,
592,0,11.121,,
593,0,10.398,,
594,0,9.68,,
595,0,9.122,,
596,0,8.645,,
597,0,8.092,,
598,0,7.582,,
599,0,7.079,,
600,0,6.641,,
601,4,6.214,,
602,257,8.632,,
603,534,12.318,,
604,767,16.813,,
605,935,19.211,,
606,1023,20.801,,
607,1033,21.929,,
608,959,22.517,,
609,793,22.463,,
610,566,21.74,,
611,277,20.101,,
612,27,14.583,,
613,0,12.301,,
614,0,11.316,,
615,0,10.358,,
616,0,9.395,,
617,0,8.561,,
618,0,7.892,,
619,0,7.379,,
620,0,6.955,,
621,0,6.577,,
622,0,6.243,,
623,0,5.972,,
624,0,5.771,,
625,2,5.608,,
626,193,8.353,,
627,462,11.992,,
628,696,16.567,,
629,863,19.367,,
630,961,21.123,,
631,968,22.329,,
632,891,22.915,,
633,737,22.849,,
634,509,22.087,,
635,227,20.513,,
636,20,15.802,,
637,0,13.518,,
638,0,12.579,,
639,0,11.663,,
640,0,10.752,,
641,0,9.887,,
642,0,9.09,,
643,0,8.378,,
644,0,7.756,,
645,0,7.231,,
646,0,6.814,,
647,0,6.45,,
648,0,6.146,,
649,3,5.916,,
650,211,8.917,,
651,486,12.992,,
652,722,17.207,,
653,890,19.653,,
654,985,21.324,,
655,996,22.521,,
656,921,23.18,,
657,753,23.141,,
658,525,22.391,,
659,239,20.768,,
660,22,15.485,,
661,0,13.1,,
662,0,12.042,,
663,0,11.142,,
664,0,10.396,,
665,0,9.754,,
666,0,9.169,,
667,0,8.607,,
668,0,8.157,,
669,0,7.766,,
670,0,7.329,,
671,0,6.947,,
672,0,6.627,,
673,3,6.396,,
674,225,9.623,,
675,494,14.004,,
676,725,18.324,,
677,892,20.974,,
678,987,22.89,,
679,994,24.293,,
680,915,25.053,,
681,753,25.116,,
682,523,24.475,,
683,238,22.757,,
684,21,17.511,,
685,0,15.259,,
686,0,14.053,,
687,0,13.051,,
688,0,12.1,,
689,0,11.193,,
690,0,10.452,,
691,0,9.81,,
692,0,9.308,,
693,0,9.143,,
694,0,9.415,,
695,0,9.26,,
696,0,8.709,,
697,3,8.3,,
698,211,11.388,,
699,478,16.4,,
700,700,20.808,,
701,854,23.632,,
702,945,25.272,,
703,865,26.256,,
704,687,26.64,,
705,668,26.741,,
706,498,26.192,,
707,206,24.469,,
708,16,20.633,,
709,0,19.365,,
710,0,18.765,,
711,0,18.205,,
712,0,17.623,,
713,0,17.191,,
714,0,16.475,,
715,0,15.64,,
716,0,14.791,,
717,0,14.291,,
718,0,13.856,,
719,0,13.311,,
720,0,12.68,,
721,2,12.32,,
722,147,14.196,,
723,353,17.805,,
724,260,21.237,,
725,363,23.269,,
726,512,24.465,,
727,538,25.251,,
728,542,25.711,,
729,475,25.782,,
730,341,25.385,,
731,152,24.066,,
732,12,19.74,,
733,0,17.963,,
734,0,16.81,,
735,0,15.762,,
736,0,14.926,,
737,0,14.238,,
738,0,13.57,,
739,0,12.903,,
740,0,12.322,,
741,0,11.785,,
742,0,11.256,,
743,0,10.717,,
744,0,10.152,,
745,2,9.641,,
746,171,11.39,,
747,443,14.735,,
748,685,19.299,,
749,859,21.825,,
750,955,23.531,,
751,968,24.673,,
752,896,25.182,,
753,736,24.987,,
754,509,24.128,,
755,228,22.509,,
756,22,17.972,,
757,0,15.554,,
758,0,14.63,,
759,0,13.777,,
760,0,13.008,,
761,0,12.296,,
762,0,11.546,,
763,0,10.725,,
764,0,10.011,,
765,0,9.548,,
766,0,8.795,,
767,0,8.287,,
768,0,7.88,,
769,4,7.551,,
770,212,9.731,,
771,486,13.296,,
772,724,18.372,,
773,894,21.422,,
774,994,23.432,,
775,1002,24.866,,
776,927,25.666,,
777,768,25.794,,
778,542,25.173,,
779,259,23.623,,
780,29,18.499,,
781,0,16.104,,
782,0,15.068,,
783,0,14.029,,
784,0,13.133,,
785,0,12.411,,
786,0,11.841,,
787,0,11.314,,
788,0,10.747,,
789,0,10.204,,
790,0,9.739,,
791,0,9.357,,
792,0,9.079,,
793,3,8.819,,
794,196,11.27,,
795,462,14.831,,
796,694,20.043,,
797,859,23.829,,
798,945,25.981,,
799,950,27.344,,
800,869,28.016,,
801,706,28.069,,
802,478,27.523,,
803,205,25.92,,
804,20,21.331,,
805,0,19.07,,
806,0,17.491,,
807,0,16.147,,
808,0,15.096,,
809,0,14.416,,
810,0,14.026,,
811,0,13.855,,
812,0,13.805,,
813,0,13.709,,
814,0,13.402,,
815,0,13.22,,
816,0,13.09,,
817,1,13.023,,
818,85,15.73,,
819,274,19.216,,
820,484,23.765,,
821,646,28.028,,
822,714,29.786,,
823,711,30.6,,
824,625,30.825,,
825,442,30.524,,
826,180,29.684,,
827,31,28.2,,
828,3,24.706,,
829,0,23.406,,
830,0,22.895,,
831,0,22.391,,
832,0,21.768,,
833,0,21.036,,
834,0,20.373,,
835,0,19.769,,
836,0,19.258,,
837,0,18.799,,
838,0,18.323,,
839,0,17.984,,
840,0,17.602,,
841,1,17.437,,
842,49,19.018,,
843,200,22.089,,
844,399,26.196,,
845,593,28.484,,
846,673,29.629,,
847,662,30.197,,
848,502,30.158,,
849,422,29.818,,
850,240,29.016,,
851,75,27.645,,
852,9,23.754,,
853,0,21.253,,
854,0,20.099,,
855,0,19.223,,
856,0,18.474,,
857,0,17.661,,
858,0,16.82,,
859,0,15.993,,
860,0,15.166,,
861,0,14.481,,
862,0,14.029,,
863,0,13.757,,
864,0,13.639,,
865,3,13.677,,
866,172,16.019,,
867,432,19.756,,
868,664,24.236,,
869,836,26.563,,
870,944,27.902,,
871,954,28.652,,
872,880,28.864,,
873,733,28.505,,
874,510,27.55,,
875,235,25.95,,
876,27,21.64,,
877,0,18.864,,
878,0,17.708,,
879,0,16.695,,
880,0,15.809,,
881,0,14.932,,
882,0,14.074,,
883,0,13.303,,
884,0,12.725,,
885,0,12.51,,
886,0,12.117,,
887,0,11.157,,
888,0,10.122,,
889,3,9.21,,
890,176,11.613,,
891,474,14.935,,
892,735,18.182,,
893,920,19.912,,
894,1016,20.993,,
895,1015,21.593,,
896,919,21.709,,
897,747,21.339,,
898,512,20.439,,
899,226,18.979,,
900,26,15.513,,
901,0,12.432,,
902,0,11.362,,
903,0,10.854,,
904,0,10.663,,
905,0,10.469,,
906,0,10.179,,
907,0,9.871,,
908,0,9.7,,
909,0,9.703,,
910,0,9.642,,
911,0,8.985,,
912,0,8.281,,
913,4,7.749,,
914,206,9.423,,
915,481,13.372,,
916,721,17.08,,
917,894,19.079,,
918,979,20.587,,
919,988,21.667,,
920,910,22.22,,
921,749,22.198,,
922,511,21.496,,
