hour_of_year,insolation,temperature,rainfall,wind_speed,wind_direction,humidity
4968,0,27.8,22488,15,270,90
4969,0,27.7,22489,14,253,90
4970,0,27.6,22490,13,56,90
4971,0,27.5,22491,12,247,89
4972,0,27.4,22492,12,262,89
4973,0,27.3,22493,11,125,88
4974,0,27.2,22494,10,270,88
4975,71,27.4,22495,12,359,87
4976,115,27.6,22496,13,255,86
4977,17,27.8,22497,15,270,85
4978,297,28.5,22498,17,83,83
4979,229,29.3,22499,19,217,81
4980,47,30,22500,21,270,80
4981,297,30,22501,18,110,78
4982,382,30,22502,14,176,76
4983,356,30,22503,10,116,75
4984,241,30,22504,7,7,73
4985,58,30,22505,3,322,71
4986,0,30,22506,0,265,70
4987,0,29.5,22507,4,280,73
4988,0,29.1,22508,9,123,77
4989,0,28.6,22509,13,116,81
4990,0,28.1,22510,17,226,85
4991,0,27.7,22511,22,164,89
4992,0,27.2,22512,26,230,94
4993,0,27,22513,22,217,93
4994,0,26.8,22514,17,149,92
4995,0,26.7,22515,13,143,91
4996,0,26.5,22516,9,306,90
4997,0,26.3,22517,4,255,89
4998,0,26.1,22518,0,350,88
4999,57,26.7,22519,3,243,89
5000,42,27.2,22520,7,14,90
5001,17,27.8,22521,10,340,90
5002,79,28.2,22522,14,314,89
5003,116,28.5,22523,17,239,87
5004,15,28.9,22524,21,270,85
5005,368,29.4,22525,18,92,81
5006,331,30,22526,14,205,78
5007,355,30.6,22527,10,285,75
5008,252,31.1,22528,7,106,72
5009,65,31.6,22529,3,44,69
5010,0,32.2,22530,0,254,66
5011,0,31,22531,2,356,70
5012,0,29.8,22532,5,107,74
5013,0,28.6,22533,8,281,78
5014,0,27.4,22534,10,147,83
5015,0,26.2,22535,12,130,88
5016,0,25,22536,15,200,94
5017,0,25,22537,12,156,95
5018,0,25,22538,10,12,96
5019,0,25,22539,8,184,97
5020,0,25,22540,5,74,98
5021,0,25,22541,2,17,99
5022,0,25,22542,0,245,100
5023,0,25.7,22543,0,121,98
5024,4,26.5,22544,0,208,96
5025,8,27.2,22545,0,22,94
5026,298,28.1,22546,0,348,83
5027,403,29.1,22547,0,55,74
5028,17,30,22548,0,315,65
5029,498,30,22549,0,96,68
5030,531,30,22550,0,44,70
5031,407,30,22551,0,230,72
5032,214,30,22552,0,73,75
5033,27,30,22553,0,324,77
5034,0,30,22554,0,261,80
5035,0,29.5,22555,0,233,82
5036,0,29.1,22556,0,62,84
5037,0,28.6,22557,0,162,86
5038,0,28.1,22558,0,305,89
5039,0,27.7,22559,0,130,91
5040,0,27.2,22560,0,177,94
5041,0,27,22561,4,352,95
5042,0,26.8,22562,9,346,96
5043,0,26.7,22563,13,19,97
5044,0,26.5,22564,17,163,98
5045,0,26.3,22565,22,40,99
5046,0,26.1,22566,26,140,100
5047,0,26.5,22567,26,260,98
5048,3,26.8,22568,26,272,96
5049,8,27.2,22569,26,140,94
5050,79,28.1,22570,22,325,89
5051,185,29.1,22571,19,132,84
5052,54,30,22572,15,140,80
5053,260,30,22573,14,202,81
5054,184,30,22574,13,96,81
5055,151,30,22575,12,77,82
5056,101,30,22576,12,60,83
5057,0,30,22577,11,237,84
5058,0,30,22578,10,140,85
5059,0,29.5,22579,10,89,86
5060,0,29.1,22580,10,91,88
5061,0,28.6,22581,10,173,89
5062,0,28.1,22582,10,133,91
5063,0,27.7,22583,10,143,92
5064,0,27.2,22584,10,140,94
5065,0,27,22585,8,33,95
5066,0,26.8,22586,7,85,96
5067,0,26.7,22587,5,80,97
5068,0,26.5,22588,3,99,98
5069,0,26.3,22589,2,345,99
5070,199,26.1,22590,0,58,100
5071,0,27,22591,3,354,95
5072,81,28,22592,7,157,90
5073,622,28.9,22593,10,200,85
5074,209,29.6,22594,7,265,83
5075,263,30.4,22595,3,172,81
5076,84,31.1,22596,0,342,80
5077,292,31.1,22597,3,343,80
5078,202,31.1,22598,7,180,80
5079,184,31.1,22599,10,170,80
5080,141,31.1,22600,14,190,80
5081,9,31.1,22601,18,210,80
5082,0,30.4,22602,21,248,82
5083,0,29.9,22603,21,244,84
5084,0,29.5,22604,21,180,86
5085,0,28.2,22605,16,163,90
5086,0,27.3,22606,10,95,92
5087,0,27,22607,5,88,91
5088,0,27,22608,0,146,89
5089,0,28.1,22609,0,110,84
5090,0,28.9,22610,0,121,81
5091,0,29.5,22611,0,122,79
5092,0,29.7,22612,0,67,79
5093,0,29.7,22613,0,124,80
5094,0,30,22614,0,102,79
5095,206,29.7,22615,0,35,80
5096,145,29.3,22616,0,245,81
5097,166,29,22617,0,244,81
5098,271,28.7,22618,5,325,82
5099,128,28.3,22619,24,87,83
5100,113,28,22620,44,42,84
5101,97,27.7,22621,36,1,85
5102,115,27.3,22622,29,314,85
5103,89,27,22623,22,349,86
5104,64,26.7,22624,15,87,87
5105,0,26.3,22625,7,165,88
5106,0,26,22626,0,67,89
5107,0,26,22627,0,244,90
5108,0,26,22628,0,87,91
5109,0,26,22629,0,151,91
5110,0,26,22630,0,34,92
5111,0,26,22631,0,66,93
