sl,model,panel_manufacturer,rating,tech_type,Voc,Isc,Vmp,Imp,NOCT,T_Pmax,T_Voc,T_Isc,dimensions,weight,cell_count,price,efficiency,life,Remarks
162,LE24M360,Lubi Solar,360,MONOCRYSTALLINE PERC,46.85,9.58,39.65,9.09,46,-0.35,-0.301,0.05,1961x991x35,21.5,72,N/A,18.52,25,N/A
163,LE24M365,Lubi Solar,365,MONOCRYSTALLINE PERC,47.08,9.64,39.95,9.14,46,-0.35,-0.301,0.05,1961x991x35,21.5,72,N/A,18.78,25,N/A
164,LE24M370,Lubi Solar,370,MONOCRYSTALLINE PERC,47.37,9.69,40.28,9.19,46,-0.35,-0.301,0.05,1961x991x35,21.5,72,N/A,19.03,25,N/A
165,LE24M375,Lubi Solar,375,MONOCRYSTALLINE PERC,47.73,9.75,40.59,9.24,46,-0.35,-0.301,0.05,1961x991x35,21.5,72,N/A,19.29,25,N/A
166,LE24M380,Lubi Solar,380,MONOCRYSTALLINE PERC,47.21,9.82,40.78,9.32,46,-0.35,-0.301,0.05,1961x991x35,21.5,72,N/A,19.55,25,N/A
167,Loom Solar Panel 50 watt,Loom Solar,50,MONOCRYSTALLINE,23.26,2.63,19.95,2.51,44,0.43,-0.301,0.05,430x665x35,3,36,2400,17.49,25,N/A
168,Loom Solar Panel 330 watt,Loom Solar,330,POLYCRYSTALLINE,44,9.4,37.5,8.5,44,0.43,-0.301,0.05,1965x990x40,22,72,11500,16.45,25,N/A
169,PREL 005,Patanjali Solar,5,POLYCRYSTALLINE CUT CELL,10.22,0.65,8.72,0.58,46,-0.4,-0.27,0.024,250x195x17,0.8,36,N/A,11.48,25,N/A
170,PREL 010,Patanjali Solar,10,POLYCRYSTALLINE CUT CELL,50,60,20,40,46,-0.4,-0.27,0.024,265x345x17,1.35,36,N/A,75,25,N/A
171,PREL 020,Patanjali Solar,20,POLYCRYSTALLINE CUT CELL,17.89,18.04,17.08,17.84,46,-0.4,-0.27,0.024,350x475x17,1.98,36,N/A,18,25,N/A
172,PREL 040,Patanjali Solar,40,POLYCRYSTALLINE CUT CELL,2.8,3.35,1.18,2.25,46,-0.4,-0.27,0.024,431x665x35,3.82,36,2000,4.17,25,N/A
173,PREL 050,Patanjali Solar,50,POLYCRYSTALLINE CUT CELL,21.77,21.66,21.17,21.95,46,-0.4,-0.27,0.024,550x665x35,4.5,36,N/A,22.12,25,N/A
174,PREL 060,Patanjali Solar,60,POLYCRYSTALLINE CUT CELL,3.04,3.59,1.26,2.44,46,-0.4,-0.27,0.024,645x665x35,4.6,36,2880,4.49,25,N/A
175,PREL 075,Patanjali Solar,75,POLYCRYSTALLINE CUT CELL,14.38,14.65,12.78,14.79,46,-0.4,-0.27,0.024,780x665x35,6.4,36,3375,15.08,25,N/A
176,PREL 080,Patanjali Solar,80,POLYCRYSTALLINE CUT CELL,22.2,4.76,18.1,4.43,46,-0.4,-0.27,0.024,780x665x35,6.4,36,N/A,16.09,25,N/A
177,PREL 085,Patanjali Solar,85,POLYCRYSTALLINE CUT CELL,22.25,4.98,18.2,4.68,46,-0.4,-0.27,0.024,780x665x35,6.4,36,N/A,17.09,25,N/A
178,PREL 100,Patanjali Solar,100,POLYCRYSTALLINE CUT CELL,21.8,5.99,18,5.57,46,-0.4,-0.27,0.024,1010x665x35,7.8,36,4200,15.46,25,N/A
179,PREL 110,Patanjali Solar,110,POLYCRYSTALLINE CUT CELL,22.8,6.4,18.4,5.99,46,-0.4,-0.27,0.024,1010x665x35,7.8,36,N/A,17.01,25,N/A
180,PREL 120,Patanjali Solar,120,POLYCRYSTALLINE CUT CELL,21.6,7.25,17.8,6.75,46,-0.4,-0.27,0.024,1196x666x35,9.2,36,N/A,14.31,25,N/A
181,PREL 125,Patanjali Solar,125,POLYCRYSTALLINE CUT CELL,22.7,7.29,18.5,6.76,46,-0.4,-0.27,0.024,1196x666x35,9.2,36,N/A,16.26,25,N/A
182,PRE 150,Patanjali Solar,150,POLYCRYSTALLINE CUT CELL,22.9,8.52,18.8,8.02,46,-0.4,-0.27,0.024,1490x670x35,11.2,36,N/A,15.63,25,N/A
183,PRE 155,Patanjali Solar,155,POLYCRYSTALLINE CUT CELL,23.12,8.69,18.95,8.18,46,-0.4,-0.27,0.024,1490x670x35,11.2,36,N/A,16.15,25,N/A
184,PRE 160,Patanjali Solar,160,POLYCRYSTALLINE CUT CELL,23.15,8.93,19.11,8.38,46,-0.4,-0.27,0.024,1490x670x35,11.2,36,6560,16.67,25,N/A
185,PRE 165,Patanjali Solar,165,POLYCRYSTALLINE CUT CELL,23.29,9.14,19.22,8.6,46,-0.4,-0.27,0.024,1490x670x35,11.2,36,N/A,17.19,25,N/A
186,PRE 170,Patanjali Solar,170,POLYCRYSTALLINE CUT CELL,23.4,9.32,19.38,8.78,46,-0.4,-0.27,0.024,1490x670x35,11.2,36,N/A,17.71,25,N/A
187,PRE 175,Patanjali Solar,175,POLYCRYSTALLINE CUT CELL,23.6,9.65,19.39,9.05,46,-0.4,-0.27,0.024,1490x670x35,11.2,36,N/A,18.23,25,N/A
188,PRE 200,Patanjali Solar,200,POLYCRYSTALLINE,30.05,8.72,25.01,8.02,46,-0.4,-0.27,0.024,1325x990x35,14.5,48,N/A,15.94,25,N/A
189,PRE 210,Patanjali Solar,210,POLYCRYSTALLINE,30.5,8.82,25.4,8.11,46,-0.4,-0.27,0.024,1325x990x35,14.5,48,N/A,16.73,25,N/A
190,PRE 215,Patanjali Solar,215,POLYCRYSTALLINE,30.9,8.91,25.7,8.27,46,-0.4,-0.27,0.024,1325x990x35,14.5,48,N/A,17.13,25,N/A
191,PRE 220,Patanjali Solar,220,POLYCRYSTALLINE,31.3,8.97,26.05,8.45,46,-0.4,-0.27,0.024,1325x990x35,14.5,48,N/A,17.53,25,N/A
192,PRE 350W,Patanjali Solar,350,MONOCRYSTALLINE PERC,47.4,9.56,38.1,9.18,46,-0.38,-0.27,-0.06,1961x991x40,21.5,72,N/A,18.51,25,N/A
193,PRE 355W,Patanjali Solar,355,MONOCRYSTALLINE PERC,47.5,9.64,38.2,9.29,46,-0.38,-0.27,-0.06,1961x991x40,21.5,72,N/A,18.78,25,N/A
194,PRE 360W,Patanjali Solar,360,MONOCRYSTALLINE PERC,47.7,9.78,38.3,9.41,46,-0.38,-0.27,-0.06,1961x991x40,21.5,72,N/A,19.04,25,N/A
195,PRE 365W,Patanjali Solar,365,MONOCRYSTALLINE PERC,47.8,9.84,38.4,9.52,46,-0.38,-0.27,-0.06,1961x991x40,21.5,72,N/A,19.31,25,N/A
196,PRE 370W,Patanjali Solar,370,MONOCRYSTALLINE PERC,48,9.9,38.4,9.63,46,-0.38,-0.27,-0.06,1961x991x40,21.5,72,N/A,19.57,25,N/A
197,PRE 375W,Patanjali Solar,375,MONOCRYSTALLINE PERC,47.2,9.96,38.5,9.74,46,-0.38,-0.27,-0.06,1961x991x40,21.5,72,N/A,19.84,25,N/A
198,PRE 380W,Patanjali Solar,380,MONOCRYSTALLINE PERC,48.3,10.05,38.6,9.85,46,-0.38,-0.27,-0.06,1961x991x40,21.5,72,N/A,20.1,25,N/A
199,ELDORA PRIME,Vikram Solar,260,POLYCRYSTALLINE,37.9,8.93,30.8,8.43,45,-0.38,-0.29,0.057,1640x992x36,18,60,N/A,15.98,25,N/A
200,ELDORA PRIME,Vikram Solar,262.5,POLYCRYSTALLINE,38,8.98,30.9,8.5,45,-0.38,-0.29,0.057,1640x992x36,18,60,N/A,16.14,25,N/A
